Ref.;Descripción;Subtotal;IGV;category;precio;categoria padre
1500;Detergente en Polvo ACE Limpieza Completa Bolsa 720g;7.63;18;Detergentes;9;Cuidado de Ropa
1501;Detergente en Polvo ACE Limpieza Completa Floral Bolsa 720g;7.63;18;Detergentes;9;Cuidado de Ropa
1503;Mantequilla GLORIA con Sal Barra 180g;10.59;18;Mantequilla y Margarina;12.5;Lácteos y Huevos
1504;Bebida de Soya SOY VIDA Lata 390g;2.54;18;Leche de Soya y Otras Bebidas Vegetales;3;Lácteos y Huevos
1505;Filete de Atún GLORIA en Aceite Vegetal Lata 140g;5.25;18;Conservas;6.2;Abarrotes
1510;Jabón con Glicerina CAMAY Clásico Barra 125g;3.05;18;Jabones en Barra;3.6;Cuidado Personal
1511;Jabón con Glicerina CAMAY Rosas Francesas Barra 125g;3.05;18;Jabones en Barra;3.6;Cuidado Personal
1515;Bebida Rehidratante POWERADE Maracuyá Botella 600ml;2.12;18;Rehidratantes;2.5;Bebidas
1516;Tortillas de Maíz DORITOS Dinamita Flamin Hot Bolsa 35g;1.86;18;Maiz;2.2;Snacks
1517;Crisino con Ajonjolí SAN MARTIN Bolsa 8un;1.69;18;Crisinos;2;Panadería y Pastelería
1518;Chifles MARANATHA Bolsa 200g;4.07;18;Camotes y Chifles;4.8;Snacks
1519;Helado KitKat D'ONOFRIO Chocolate Paleta 85ml;4.24;18;Helados;5;Congelados
1520;Cerveza CUSQUEÑA Trigo Botella 620 ml - RETORNABLE;6.36;18;Con Alcohol;7.5;Cervezas
1522;Queso Edam GLORIA Paquete 90g;4.24;18;Quesos;5;Quesos y Embutidos
1523;Cera Líquida EMPERATRIZ Roja Doypack 300ml;6.53;18;Ceras;7.7;Limpieza
1526;Toallas Higiénicas NOSOTRAS Buenas Noches Paquete 1un;0.85;18;Protección Femenina;1;Cuidado Personal
1527;Toallas Higiénicas NOSOTRAS Alas Tela Gel Paquete 1un;0.59;18;Protección Femenina;0.7;Cuidado Personal
1528;Yogurt GLORIA Battimix Vainilla con Galletas Sabor Chocolate Vaso 145g - Oreo;3.14;18;Yogurts;3.7;Lácteos y Huevos
1531;Chicle BUBBALOO Sabor Mora por unidad;0.21;18;Gomas de Mascar;0.25;Dulcería
1532;Bebida Rehidratante POWERADE Mora Azul Botella 1.5L;4.66;18;Rehidratantes;5.5;Bebidas
1533;Bebida Rehidratante POWERADE Multifrutas Botella 1.5L;4.66;18;Rehidratantes;5.5;Bebidas
1534;Bebida Rehidratante POWERADE Multifrutas Botella 1L;3.39;18;Rehidratantes;4;Bebidas
1535;Comida para Gato RICOCAT Adultos Trocitos Sabores Marinos Doypack 85g;1.69;18;Alimento Húmedo para Gatos;2;Mascotas
1536;Comida para Gato RICOCAT Adultos Trocitos Sabor Salmón Doypack 85g;1.69;18;Alimento Húmedo para Gatos;2;Mascotas
1537;Comida para Gato RICOCAT Gatitos Trocitos Sabor Carne Doypack 85g;1.69;18;Alimento Húmedo para Gatos;2;Mascotas
1538;Helado Frio Rico D'ONOFRIO Fresa de Huaura Paleta 93ml;4.24;18;Helados;5;Congelados
1542;Desodorante en Crema NIVEA para Mujer Clear Sachet 9g;1.27;18;Higiene Personal;1.5;Cuidado Personal
1543;Desodorante en Crema NIVEA para Hombre Original Sachet 9g;1.27;18;Higiene Personal;1.5;Cuidado Personal
1544;Jabón de Tocador NIVEA Creme Care Barra 75g;3.05;18;Jabones en Barra;3.6;Cuidado Personal
1545;Fideos LAVAGGI Spaghetti Bolsa 450g;2.29;18;Fideos, Pastas y Salsas;2.7;Abarrotes
1546;Ron CARTAVIO Black Botella 250ml;8.39;18;Rones;9.9;Licores
1548;Cerveza GOLDEN 6 Pack Lata 473ml;19.83;18;Con Alcohol;23.4;Cervezas
1551;ENVASE - Cerveza PILSEN Trujillo Botella 305ml;0.42;18;Envases;0.5;TIENDA
1552;Mostaza ALACENA Sachet 8g;0.34;18;Cremas y Condimentos;0.4;Abarrotes
1553;Chocolate NESTLÉ Sublime Bitter Bolsa 38g;2.97;18;Chocolatería;3.5;Dulcería
1554;Tratamiento Intensivo PANTENE Control Caída Sachet 27ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1555;Tratamiento Intensivo PANTENE Anti-Frizz Sachet 27ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1556;Shampoo + Acondicionador PANTENE Equilibrio Raíz & Puntas Sachet 18ml + 9ml;1.02;18;Cuidado del Cabello;1.2;Cuidado Personal
1560;Panetón GN Bolsa 900g;15.17;18;Panetones;17.9;Panadería y Pastelería
1561;Bebida Instantánea en Polvo ZUKO Mango Criollo Sobre 15g;1.02;18;Refrescos;1.2;Abarrotes
1562;Bebida Energizante V220 Botella 330ml;1.69;18;Energizantes;2;Bebidas
1563;Hongos y Laurel Entero GRANEL Bolsa 15g;0.59;18;Cremas y Condimentos;0.7;Abarrotes
1564;Suavizante SUAVITEL Complete Fresca Primavera Doypack 360ml;3.98;18;Suavizantes;4.7;Cuidado de Ropa
1565;Toallitas Húmedas para Bebé HUGGIES Limpieza Efectiva Paquete 16un;2.2;18;Pañales y Toallitas para Bebés;2.6;Cuidado del Bebé
1566;Panetón GLORIA Bolsa 900g;22.03;18;Panetones;26;Panadería y Pastelería
1567;Bebida Alcohólica Preparada FOUR LOKO Sabor Maracuyá Lata 473ml;9.24;18;Licores Preparados;10.9;Licores
1570;Tortillas de Maiz TAKIS Fuego Bolsa 56g;2.54;18;Maiz;3;Snacks
1571;Tortillas de Maiz TAKIS Xplosion Bolsa 56g;2.54;18;Maiz;3;Snacks
1572;Espumante SANTIAGO QUEIROLO Primado Botella 750ml;13.14;18;Espumantes;15.5;Bebidas
1573;Espumante SANTIAGO QUEIROLO Primadonna Botella 750ml;18.22;18;Espumantes;21.5;Bebidas
1578;Salsa de Rocoto ALACENA Doypack 85g;2.97;18;Cremas y Condimentos;3.5;Abarrotes
1579;Crema de Rocoto ALACENA Uchucuta Doypack 85g;2.97;18;Cremas y Condimentos;3.5;Abarrotes
1580;Comida para Perros THOR Adultos Todas las Razas Bolsa 500 g;2.46;18;Alimento Seco para Perros;2.9;Mascotas
1582;Goma de Mascar TRIDENT SPLASH Yerba Buena y Sandía Paquete 17.1g;2.54;18;Gomas de Mascar;3;Dulcería
1583;Agua AGUAFIEL Sin Gas Bidón 20L - RETORNABLE;9.32;18;Agua de Mesa;11;Bebidas
1584;Tortillas de Maiz TAKIS Original Bolsa 56g;2.54;18;Maiz;3;Snacks
1586;Mayonesa ALACENA Doypack 850g;17.37;18;Cremas y Condimentos;20.5;Abarrotes
1587;Fideos LAVAGGI Codo Rayado Bolsa 225g;1.36;18;Fideos, Pastas y Salsas;1.6;Abarrotes
1588;Café Tostado y Molido CAFETAL Selecto Bolsa 454g;17.88;18;Café e Infusiones;21.1;Desayunos
1590;Limpiavidrios SAPOLIO Pote 650ml;8.56;18;Limpiadores de Vidrio;10.1;Limpieza
1591;Galletas CASINO con Crema Sabor a Tres Leches Paquete 43g;0.85;18;Galletas;1;Dulcería
1592;Fideos NICOLINI Corbata Bolsa 225g;1.44;18;Fideos, Pastas y Salsas;1.7;Abarrotes
1593;Fideos NICOLINI Macarron Bolsa 225g;1.44;18;Fideos, Pastas y Salsas;1.7;Abarrotes
1594;Fideos NICOLINI Rigatoni Bolsa 235g;1.44;18;Fideos, Pastas y Salsas;1.7;Abarrotes
1595;Quitamanchas OPAL Líquido Doypack 100ml;1.27;18;Quitamanchas;1.5;Cuidado de Ropa
1596;Grageas de Chocolate CHIN CHIN Max Bolsa 30g;1.53;18;Chocolatería;1.8;Dulcería
1597;Helado Alaska D'ONOFRIO Maracumango Paleta 75ml;2.12;18;Helados;2.5;Congelados
1598;Papas LAYS Ondas Picante Familiar Bolsa 140g;6.36;18;Papas;7.5;Snacks
1599;ENVASE - Agua AGUAFIEL Sin Gas Bidón 20L;8.47;18;Envases;10;TIENDA
1601;Piqueos KARINTO Maní Salado Bolsa 100g;3.05;18;Manís y Habas;3.6;Snacks
1602;Piqueos CHEETOS Horneados Queso Familiar Bolsa 200g;5.51;18;Maiz;6.5;Snacks
1603;Piqueos CHEETOS Queso Picante Familiar Bolsa 180g;5.51;18;Maiz;6.5;Snacks
1607;Bebida Instantánea en Polvo ZUKO Emoliente Sobre 15g;1.02;18;Refrescos;1.2;Abarrotes
1608;Helado Bombones D'ONOFRIO Pote 216ml;11.44;18;Helados;13.5;Congelados
1609;Hielo FRIO RICO Bolsa 1.5 Kg;2.97;18;Hielos;3.5;Congelados
1610;Hielo FRIO RICO Bolsa 3 Kg;5.51;18;Hielos;6.5;Congelados
1612;Bebida FRUGOS DEL VALLE Fresh Tropical Punch Botella 500ml;1.69;18;Otras Bebidas;2;Bebidas
1613;Helado Frio Rico D'ONOFRIO Lúcuma Cono 120m;4.24;18;Helados;5;Congelados
1614;Helado Princesa D'ONOFRIO Pote 900ml;16.86;18;Helados;19.9;Congelados
1615;Cerveza PILSEN Callao Botella 305ml;3.39;18;Con Alcohol;4;Cervezas
1616;Cerveza PILSEN Callao 6 Pack Botella 305ml;19.83;18;Con Alcohol;23.4;Cervezas
1618;Cerveza PILSEN Callao 6 Pack Lata 355ml;22.37;18;Con Alcohol;26.4;Cervezas
1619;Cerveza PILSEN Callao 6 Pack Lata 473ml;27.88;18;Con Alcohol;32.9;Cervezas
1620;Cerveza PILSEN Trujillo Botella 305ml;2.97;18;Con Alcohol;3.5;Cervezas
1621;Cerveza PILSEN Trujillo 6 Pack Botella 305ml;17.29;18;Con Alcohol;20.4;Cervezas
1623;Cerveza PILSEN Trujillo 12 Pack Botella 620ml - RETORNABLE;65.08;18;Con Alcohol;76.8;Cervezas
1624;Cerveza PILSEN Trujillo 6 Pack Lata 355ml;19.83;18;Con Alcohol;23.4;Cervezas
1625;Cerveza CORONA Extra 6 Pack Botella 330ml;24.92;18;Con Alcohol;29.4;Cervezas
1627;Cerveza CUSQUEÑA Dorada 6 Pack Botella 310ml;22.37;18;Con Alcohol;26.4;Cervezas
1628;Cerveza CUSQUEÑA Negra 6 Pack Botella 310ml;22.37;18;Con Alcohol;26.4;Cervezas
1630;Cerveza CUSQUEÑA Trigo 6 Pack Botella 310ml;22.37;18;Con Alcohol;26.4;Cervezas
1632;Cerveza STELLA ARTOIS Botella 330ml;4.24;18;Con Alcohol;5;Cervezas
1633;Cerveza STELLA ARTOIS 6 Pack Botella 330ml;24.92;18;Con Alcohol;29.4;Cervezas
1634;Cerveza HEINEKEN 6 Pack Botella 330ml;28.98;18;Con Alcohol;34.2;Cervezas
1635;Cerveza HEINEKEN Lata 310ml;3.73;18;Con Alcohol;4.4;Cervezas
1636;Cerveza HEINEKEN 6 Pack Lata 310ml;21.86;18;Con Alcohol;25.8;Cervezas
1637;Cerveza TRES CRUCES Lager 6 Pack Lata 473ml;22.37;18;Con Alcohol;26.4;Cervezas
1638;Cerveza TRES CRUCES Light Lata 473ml;3.81;18;Con Alcohol;4.5;Cervezas
1639;Cerveza TRES CRUCES Light 6 Pack Lata 473ml;22.37;18;Con Alcohol;26.4;Cervezas
1640;Cerveza TRES CRUCES Pum Pum Lata 473ml;3.81;18;Con Alcohol;4.5;Cervezas
1641;Cerveza TRES CRUCES Pum Pum 6 Pack Lata 473ml;22.37;18;Con Alcohol;26.4;Cervezas
1642;Gaseosa FANTA Naranja Botella 400ml - RETORNABLE;1.36;18;Gaseosas;1.6;Bebidas
1643;Cigarro GOLDEN BEACH Full Flavor por unidad;0.28;18;Cigarros;0.33;Tabaco y Vapes
1644;Lejía CLOROX Tradicional Botella 860g / 819ml;2.54;18;Lejías;3;Limpieza
1645;Sazonador AJI-NO-MOTO Umami Glutamato de Sodio Bolsa 250g;4.24;18;Cremas y Condimentos;5;Abarrotes
1646;Crema de Tratamiento NUTRIBELA Pro-Hialurónico Sachet 27ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1647;Bebida Energizante RED BULL Red Lata 250ml;7.2;18;Energizantes;8.5;Bebidas
1648;Salsa de Soya KIKKO Siyau Frasco 500ml;3.56;18;Cremas y Condimentos;4.2;Abarrotes
1649;Leche GLORIA Slim Triple Zero UHT Caja 946ml;5.34;18;Leches;6.3;Lácteos y Huevos
1650;LOS CUATES Rancheritos Bolsa 40g;1.02;18;Maiz;1.2;Snacks
1651;Agua AGUAFIEL Sin Gas Botella 2.5L;2.12;18;Agua de Mesa;2.5;Bebidas
1652;Agua AGUAFIEL Sin Gas Botella 7L;5.08;18;Agua de Mesa;6;Bebidas
1654;Gaseosa PEPSI Botella 1.5L - RETORNABLE;3.81;18;Gaseosas;4.5;Bebidas
1655;Shampoo SEDAL Celulas Madres Sachet 40 ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1658;Jabón de Tocador NEKO Aloe Barra 75g;3.22;18;Jabones en Barra;3.8;Cuidado Personal
1660;Jabón de Tocador NEKO Extra Protección Barra 75g;3.22;18;Jabones en Barra;3.8;Cuidado Personal
1663;Corrector ARTESCO Punta Metálica Tipo Lapicero 9ml por Unidad;2.12;18;Escritura y Corrección;2.5;Librería y Oficina
1664;Vodka SMIRNOFF Ice Green Apple Botella 750ml;29.58;18;Vodka;34.9;Licores
1665;Vodka SMIRNOFF Ice Red Original Classic Lemon Botella 750ml;29.58;18;Vodka;34.9;Licores
1666;Choco Snacks BIG BEN Caramelo y Maní Bolsa 55g;2.12;18;Chocolatería;2.5;Dulcería
1667;Galletas FIELD Cream Crackers Paquete 258g;5.34;18;Galletas;6.3;Dulcería
1668;Néctar FRUGOS DEL VALLE Sabor a Manzana Caja 235ml;1.36;18;Jugos y Néctares;1.6;Bebidas
1669;Avena 3 OSITOS Chocolate Bolsa 180g;2.12;18;Avenas;2.5;Desayunos
1670;Bebida Rehidratante SPORADE Tropical Botella 1.5L;4.66;18;Rehidratantes;5.5;Bebidas
1671;Cigarro GOLDEN BEACH Menthol por unidad;0.28;18;Cigarros;0.33;Tabaco y Vapes
1672;Cigarro HAMILTON Fresh por unidad;0.3;18;Cigarros;0.35;Tabaco y Vapes
1673;Cigarro HAMILTON Light por unidad;0.3;18;Cigarros;0.35;Tabaco y Vapes
1675;Cerveza CUSQUEÑA Trigo Lata 473ml;5.08;18;Con Alcohol;6;Cervezas
1676;Bolsas Chequera ROJA por unidad;0.17;18;Bolsas de Plástico;0.2;Descartables
1677;Gomitas TRULULU Gusanos Sobre 70g;2.12;18;Gomitas;2.5;Dulcería
1680;Agua AGUAFIEL Sin Gas Botella 650ml;0.85;18;Agua de Mesa;1;Bebidas
1681;Papas Fritas INKA CHIPS Queso & CebollaBolsa 135g;6.36;18;Papas;7.5;Snacks
1682;Bebida Energizante VOLT Fantasy Botella 500ml;2.97;18;Energizantes;3.5;Bebidas
1683;Bebida Rehidratante SPORADE Apple Ice sin AzúcarBotella 500ml;2.12;18;Rehidratantes;2.5;Bebidas
1684;Bebida Rehidratante SPORADE Tropical sin Azúcar Botella 500ml;2.12;18;Rehidratantes;2.5;Bebidas
1685;Bolsas Chequera NEGRA por unidad;0.08;18;Bolsas de Plástico;0.1;Descartables
1687;Galletas SAYON Margarita Taco 124g;2.12;18;Galletas;2.5;Dulcería
1693;Bebida Energizante RED BULL Green Lata 250ml;7.2;18;Energizantes;8.5;Bebidas
1694;Caja de Cartón;0.42;18;TIENDA;0.5;
1695;Goma de Mascar TRIDENT Tutti Frutti Paquete 8.5g;1.27;18;Gomas de Mascar;1.5;Dulcería
1696;Galletas CHIPS AHOY Mini Bolsa 50g;2.12;18;Galletas;2.5;Dulcería
1697;Sacasarro SAPOLIO Pote 980ml;3.73;18;Limpieza de Baño;4.4;Limpieza
1700;Papas LAYS Artesanas Alitas BBQ Bolsa 30gr;1.86;18;Papas;2.2;Snacks
1701;Galletas MOROCHAS Taco Paquete 75g;2.12;18;Galletas;2.5;Dulcería
1702;Chocolate NESTLÉ Sublime Coockies and Cream Bolsa 38g;2.97;18;Chocolatería;3.5;Dulcería
1703;Filete de Atún PRIMOR en Agua y Sal Lata 140g;5.25;18;Conservas;6.2;Abarrotes
1704;Galletas PICARAS Menta Paquete 40g;1.02;18;Galletas;1.2;Dulcería
1705;Plumon para Pizarra OVE 123 Color Azul por unidad;2.12;18;Escritura y Corrección;2.5;Librería y Oficina
1706;Lápiz MONGOL por unidad;0.85;18;Escritura y Corrección;1;Librería y Oficina
1708;Bebida Energizante VOLT Fantasy Lata 473ml;3.81;18;Energizantes;4.5;Bebidas
1709;Betún en pasta SANTIAGO Negro Pote 45ml/34g;2.12;18;Limpieza de Calzado;2.5;Limpieza
1710;Detergente en polvo PATITO Floral Bolsa 140g;1.27;18;Detergentes;1.5;Cuidado de Ropa
1711;Galletas GN Vainilla Paquete 10u x 28g;3.39;18;Galletas;4;Dulcería
1712;Galletas GN Vainilla Caja 40u x 28g;13.14;18;Galletas;15.5;Dulcería
1713;Galletas SAN JORGE de Soda Paquete 7u x 40g;4.15;18;Galletas;4.9;Dulcería
1714;Galletas SAN JORGE de Soda Caja 28u x 40g;16.1;18;Galletas;19;Dulcería
1715;Guantes VIRUTEX Conveniente Talla S;4.24;18;Guantes y Escobillas;5;Limpieza
1716;Guantes VIRUTEX Conveniente Talla M;4.24;18;Guantes y Escobillas;5;Limpieza
1717;Guantes VIRUTEX Conveniente Talla L;4.24;18;Guantes y Escobillas;5;Limpieza
1718;Cigarro MARLBORO Forest Fusion por Unidad;1.27;18;Cigarros;1.5;Tabaco y Vapes
1719;Fideos SAN JORGE Canuto Rayado Bolsa 250g;1.27;18;Fideos, Pastas y Salsas;1.5;Abarrotes
1720;Bebida Rehidratante POWERADE Mora Azul Botella 1L;3.39;18;Rehidratantes;4;Bebidas
1721;Pudín UNIVERSAL Sabor a Vainilla Bolsa 100g;2.88;18;Postres;3.4;Repostería
1722;Shampoo HEAD & SHOULDERS Purificación Capilar Carbón Activado 15ml;0.93;18;Cuidado del Cabello;1.1;Cuidado Personal
1724;Pan de Molde PYC Integral Bolsa 365g;4.15;18;Panes Envasados;4.9;Panadería y Pastelería
1725;Pan de Molde PYC Blanco Familiar Bolsa 480g;5.76;18;Panes Envasados;6.8;Panadería y Pastelería
1726;Bebida Energizante FURY Botella 350ml;1.69;18;Energizantes;2;Bebidas
1727;Cerveza PILSEN Trujillo 24 Pack Botella 305ml por 24un - RETORNABLE;69.15;18;Con Alcohol;81.6;Cervezas
1730;Cerveza TRES CRUCES Light Lata 310ml;2.97;18;Con Alcohol;3.5;Cervezas
1731;Cerveza TRES CRUCES Light 6 Paxk Lata 310ml;17.29;18;Con Alcohol;20.4;Cervezas
1735;Infusiones MC COLIN'S Buenos Sueños Caja 20un;4.66;18;Café e Infusiones;5.5;Desayunos
1742;Pasas a GRANEL Bolsa 100g;2.12;18;Frutos Secos;2.5;Snacks
1743;Preservativos DUREX Extra Seguro Caja 3un;7.2;18;Bienestar Sexual;8.5;Cuidado Personal
1744;Preservativos DUREX Invisible Caja 3un;8.05;18;Bienestar Sexual;9.5;Cuidado Personal
1745;Preservativos DUREX Máximo Placer Caja 3un;7.2;18;Bienestar Sexual;8.5;Cuidado Personal
1746;Preservativos DUREX Sensitivo Delgado Caja 3un;7.2;18;Bienestar Sexual;8.5;Cuidado Personal
1747;Preservativos DUREX Placer Prolongado Caja 3un;7.2;18;Bienestar Sexual;8.5;Cuidado Personal
1748;Preservativos PIEL con Espuelas Caja 3un;2.54;18;Bienestar Sexual;3;Cuidado Personal
1749;Preservativos PIEL Clásico Caja 3un;2.54;18;Bienestar Sexual;3;Cuidado Personal
1750;Preservativos PIEL con Aros Caja 3un;2.54;18;Bienestar Sexual;3;Cuidado Personal
1751;Cerveza CUSQUEÑA Trigo Lata 355ml;4.24;18;Con Alcohol;5;Cervezas
1752;Cerveza CUSQUEÑA Trigo 6 Pack Lata 355ml;25;18;Con Alcohol;29.5;Cervezas
1753;Cerveza CUSQUEÑA Trigo 6 Pack Lata 473ml;28.73;18;Con Alcohol;33.9;Cervezas
1759;Helado Sandwich D'ONOFRIO Vainilla Pote 900ml;16.86;18;Helados;19.9;Congelados
1760;Helado Morochas D'ONOFRIO Pote 900ml;16.86;18;Helados;19.9;Congelados
1761;Cigarro PALL MALL XL Blue por Unidad;0.85;18;Cigarros;1;Tabaco y Vapes
1762;Cigarro PALL MALL XL Sunrise Mix Caja 20un;14.41;18;Cigarros;17;Tabaco y Vapes
1763;Cigarro PALL MALL XL Sunset Caja 20un;14.41;18;Cigarros;17;Tabaco y Vapes
1764;Cigarro PALL MALL XL Red Caja 20un;13.56;18;Cigarros;16;Tabaco y Vapes
1765;Cigarro PALL MALL XL Blue Caja 20un;13.56;18;Cigarros;16;Tabaco y Vapes
1766;Cigarro MARLBORO Summer Fusion Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1767;Cigarro MARLBORO Red Forward Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1768;Cigarro MARLBORO Gold Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1769;Cigarro MARLBORO Double Burst Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1771;Cigarro MARLBORO Kretek Mint Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1773;Goma de Mascar TRIDENT EVUP Yerbabuena Paquete 30.6g 18un;3.22;18;Gomas de Mascar;3.8;Dulcería
1774;Goma de Mascar TRIDENT EVUP Freshmint Paquete 30.6g 18un;3.22;18;Gomas de Mascar;3.8;Dulcería
1775;Goma de Mascar TRIDENT EVUP Fresh Herbal Paquete 30.6g 18un;3.22;18;Gomas de Mascar;3.8;Dulcería
1776;Quitamanchas VANISH Líquido Blanco Total Doypack 300ml;3.39;18;Quitamanchas;4;Cuidado de Ropa
1777;Quitamanchas VANISH Líquido Ropa Color Doypack 300ml;3.39;18;Quitamanchas;4;Cuidado de Ropa
1778;Crema de Leche UHT GLORIA Caja 200ml;6.78;18;Cremas de Leche;8;Lácteos y Huevos
1779;Mantequilla GLORIA con Sal Barra 50g;3.22;18;Mantequilla y Margarina;3.8;Lácteos y Huevos
1780;Trozos de Atún FLORIDA en Aceite Vegetal Lata 140g;5.08;18;Conservas;6;Abarrotes
1781;Papel Higiénico PARACAS Doble Hoja Celeste Paquete 6un;5.51;18;Papel Higiénico;6.5;Limpieza
1788;Gaseosa CONCORDIA Sabor Naranja Botella 355ml;1.02;18;Gaseosas;1.2;Bebidas
1789;IMPRESION COLOR;0.42;18;TIENDA;0.5;
1793;Manjar Blanco BONLÉ Bolsa 500g;8.98;18;Manjar Blanco;10.6;Repostería
1795;Helado KitKat D'ONOFRIO Triple Layers Pote 900ml;21.1;18;Helados;24.9;Congelados
1797;Comida para Perro RICOCAN Adultos Edad Avanzada a GRANEL Bolsa 500 g;3.73;18;Alimento Seco para Perros;4.4;Mascotas
1798;Comida para Gato RICOCAT Adultos Esterilizados a GRANEL Bolsa 500g;4.92;18;Alimento Seco para Gatos;5.8;Mascotas
1799;Shampoo RICOCAN 4 en 1 Sachet 40ml;1.27;18;Shampoo para Perros;1.5;Mascotas
1800;Shampoo RICOCAN Antipulgas Sachet 40ml;1.27;18;Shampoo para Perros;1.5;Mascotas
1801;Shampoo RICOCAN Cachorros Sachet 40ml;1.27;18;Shampoo para Perros;1.5;Mascotas
1802;Bebida TAMPICO Citrus Punch Botella 1.5L;3.39;18;Otras Bebidas;4;Bebidas
1803;Shampoo + Acondicionador PANTENE Summer Edition Sachet 18ml + 9ml;1.02;18;Cuidado del Cabello;1.2;Cuidado Personal
1804;Shampoo + Acondicionador PANTENE Keratina Prepara & Proteje Sachet 18ml + 9ml;1.02;18;Cuidado del Cabello;1.2;Cuidado Personal
1813;Suavizante DOWNY Amanecer Sachet 80 ml;1.1;18;Suavizantes;1.3;Cuidado de Ropa
1815;Mortadela RAZZETO por Kg;23.73;18;Embutidos;28;Quesos y Embutidos
1816;Jamonada Especial RAZZETO por Kg;30.51;18;Embutidos;36;Quesos y Embutidos
1817;Caramelos MENTOS Fresa Paquete 29g;1.27;18;Caramelos;1.5;Dulcería
1818;Caramelos MENTOS Lemonade Paquete 29g;1.27;18;Caramelos;1.5;Dulcería
1819;Caramelos MENTOS Mint Paquete 29g;1.27;18;Caramelos;1.5;Dulcería
1820;Caramelos MENTOS Frutas Paquete 29g;1.27;18;Caramelos;1.5;Dulcería
1821;Guantes VIRUTEX Corrugado Talla S;7.2;18;Guantes y Escobillas;8.5;Limpieza
1822;Guantes VIRUTEX Corrugado Talla L;7.2;18;Guantes y Escobillas;8.5;Limpieza
1823;Queso Mantecoso EL PAISITA Paquete 100g;3.05;18;Quesos;3.6;Quesos y Embutidos
1824;Queso Arenoso EL PAISITA Paquete 100g;3.05;18;Quesos;3.6;Quesos y Embutidos
1825;Bolsas de PAPEL KRAFT Talla M por unidad;1.53;18;Bolsas de Papel;1.8;Descartables
1827;Fortificante Granulado MILO Activ-Go Sachet 51g;2.54;18;Modificadores de leche;3;Desayunos
1828;Maquina de Afeitar GILLETTE UltraGrip Pivot con Aloe Vera;2.54;18;Afeitado y Depilación;3;Cuidado Personal
1830;Masa para Wantan LA PASTA 500gr;4.24;18;Fideos, Pastas y Salsas;5;Abarrotes
1831;Pegamento Universal UHU Pegalotodo Tubo 20ml;4.66;18;Adhesivos y Cintas;5.5;Librería y Oficina
1832;Notas Adhesivas ARTESCO Sticky 3x3 100un;2.12;18;Adhesivos y Cintas;2.5;Librería y Oficina
1833;Cola Sintética ARTESCO 90ml;2.12;18;Adhesivos y Cintas;2.5;Librería y Oficina
1834;Silicona en Barra ARTESCO por Unidad;0.42;18;Adhesivos y Cintas;0.5;Librería y Oficina
1835;Papelógrafo SUELTO Cuadriculado por unidad;0.42;18;Papelería;0.5;Librería y Oficina
1836;Papelógrafo SUELTO Blanco por unidad;0.42;18;Papelería;0.5;Librería y Oficina
1838;Galletas FIELD Coronita Paquete Taco 96g;2.37;18;Galletas;2.8;Dulcería
1839;Pañales para Bebé HUGGIES Active Sec Talla XXXG por unidad;1.1;18;Pañales y Toallitas para Bebés;1.3;Cuidado del Bebé
1840;Bebida Natural BIO Aloe Botella 500ml;2.97;18;Nutricionales;3.5;Bebidas
1841;Bebida Natural BIO AMAYU Arándano con Uva y Manzana Botella 300ml;2.97;18;Nutricionales;3.5;Bebidas
1842;Bebida Natural BIO AMAYU Manzana y Camu Camu Botella 300ml;2.97;18;Nutricionales;3.5;Bebidas
1843;Bebida Natural BIO AMAYU Manzana Aguaje y Cocona Botella 300ml;2.97;18;Nutricionales;3.5;Bebidas
1844;Galletas GLACITAS Mini Bañadas con Sabor a Toffee Paquete 55g;1.69;18;Galletas;2;Dulcería
1845;Quitamanchas SAPOLIO Ropa Color Botella 930ml;5.08;18;Quitamanchas;6;Cuidado de Ropa
1846;Velas CRUZ DE MOTUPE Mecha Trenzada Duramás paquete 10un;3.56;18;Velas;4.2;Hogar y Ferretería
1847;Toallitas Húmedas para Bebé HUGGIES Limpieza Efectiva Paquete 120un;12.29;18;Pañales y Toallitas para Bebés;14.5;Cuidado del Bebé
1848;Detergente en polvo PATITO Limón Bolsa 640g;4.07;18;Detergentes;4.8;Cuidado de Ropa
1850;Suavizante SUAVITEL Complete Acqua Sachet 80ml;1.27;18;Suavizantes;1.5;Cuidado de Ropa
1851;Queso Mantecoso EL PAISITA Paquete 180g;5.51;18;Quesos;6.5;Quesos y Embutidos
1852;Queso Arenoso EL PAISITA Paquete 180g;5.51;18;Quesos;6.5;Quesos y Embutidos
1854;Gaseosa FANTA Kola Inglesa Botella 300ml;1.27;18;Gaseosas;1.5;Bebidas
1855;Bebida Energizante MONSTER Energy Ultra Paradise Lata 473ml;7.2;18;Energizantes;8.5;Bebidas
1857;Bebida H2OH Limoneto Botella 500ml;1.27;18;Aguas Saborizadas;1.5;Bebidas
