Ref.;Descripción;Subtotal;IGV;category;precio;categoria padre
1229;Jamón Inglés RAZZETO Paquete 85g;3.81;18;Embutidos;4.5;Quesos y Embutidos
1230;Hot Dog con Pollo RAZZETO 3un Paquete 93g;1.53;18;Embutidos;1.8;Quesos y Embutidos
1232;Chicle SUPER HIPER ACIDO Centro Líquido Bolsa 7g;0.25;18;Gomas de Mascar;0.3;Dulcería
1233;Chicle BOOGIE Surtido 2un Caja 2.72g;0.08;18;Gomas de Mascar;0.1;Dulcería
1235;Agua SAN CARLOS Sin Gas Botella 750ml;1.27;18;Agua de Mesa;1.5;Bebidas
1236;Bebida Rehidratante SPORADE Uva Botella 500ml;2.12;18;Rehidratantes;2.5;Bebidas
1237;Bebida Rehidratante GATORADE Apple Ice Botella 500ml;2.12;18;Rehidratantes;2.5;Bebidas
1239;Agua SAN CARLOS Sin Gas Botella 3L;2.97;18;Agua de Mesa;3.5;Bebidas
1240;Agua SAN CARLOS Sin Gas Botella 2.25L;2.12;18;Agua de Mesa;2.5;Bebidas
1241;Chifles MARANATHA Picantes Bolsa 40g;0.85;18;Camotes y Chifles;1;Snacks
1242;Yogurt Bebible GLORIA Sabor a Durazno Botella 180gr;1.69;18;Yogurts;2;Lácteos y Huevos
1243;Sobre Manila GRAPHOS A4 por unidad;0.42;18;Organización y Archivo;0.5;Librería y Oficina
1244;Sobre Manila GRAPHOS Pago por unidad;0.25;18;Organización y Archivo;0.3;Librería y Oficina
1245;Folder Manila GRAFI A4 por unidad;0.42;18;Organización y Archivo;0.5;Librería y Oficina
1246;Grapas ARTESCO 26/6 Caja 1000un;1.27;18;Organización y Archivo;1.5;Librería y Oficina
1248;Papel Higiénico ELITE Triple Hoja Paquete 4un;7.2;18;Papel Higiénico;8.5;Limpieza
1250;Vodka MIKE'S Hard Lemonade Lata 355ml;5.51;18;Licores Preparados;6.5;Licores
1251;Cereal ANGEL Naranja Miel Bolsa 20g;0.85;18;Cereales;1;Desayunos
1252;Flan de Vainilla UMSHA Bolsa 90g;1.86;18;Postres;2.2;Repostería
1253;Pudín de Chocolate UMSHA Bolsa 100g;2.12;18;Postres;2.5;Repostería
1255;Galletas GLACITAS Bañadas con Sabor a Chocolate Paquete 32g;0.85;18;Galletas;1;Dulcería
1256;Galletas GLACITAS Bañadas con Sabor a ChocoNieve Paquete 32g;0.85;18;Galletas;1;Dulcería
1257;Galletas CASINO con Crema Sabor a Menta Taco 129g;2.12;18;Galletas;2.5;Dulcería
1259;Lavavajilla Pasta SAPOLIO Limón Pote 200g;1.69;18;Lavavajillas;2;Limpieza
1260;Lejía SAPOLIO Tradicional Botella 400g;1.27;18;Lejías;1.5;Limpieza
1261;Lejía SAPOLIO Tradicional Botella 790g;1.69;18;Lejías;2;Limpieza
1262;Quitamanchas SAPOLIO Ropa Color Botella 550ml;2.54;18;Quitamanchas;3;Cuidado de Ropa
1263;Quitamanchas SAPOLIO Ropa Color Botella 265ml;1.69;18;Quitamanchas;2;Cuidado de Ropa
1264;Aceite Vegetal PRIMOR Clásico Botella 500ml;4.83;18;Aceites;5.7;Abarrotes
1265;Detergente en Polvo MARSELLA Pétalos Relajantes Lavanda y Rosas Bolsa 730g;6.36;18;Detergentes;7.5;Cuidado de Ropa
1269;Jamón PIZZERO + Queso Tipo EDAM RAZZETO Paquete 170g;6.61;18;Embutidos;7.8;Quesos y Embutidos
1270;Leche GLORIA Sin Lactosa Lata 170g;2.29;18;Leches;2.7;Lácteos y Huevos
1271;Aceite Vegetal CIL Botella 900ml;7.2;18;Aceites;8.5;Abarrotes
1273;Gelatina UMSHA Limón Bolsa 120g;2.71;18;Gelatinas;3.2;Repostería
1276;Detergente en Polvo ACE Limpieza Completa Floral Bolsa 380g;5;18;Detergentes;5.9;Cuidado de Ropa
1278;Caramelos ARCOR Limón por unidad;0.08;18;Caramelos;0.1;Dulcería
1279;Caramelos ARCOR Chicha Morada por unidad;0.08;18;Caramelos;0.1;Dulcería
1283;Gelatina UNIVERSAL Sabor a Piña 2L Bolsa 130g;3.39;18;Gelatinas;4;Repostería
1284;Gelatina UNIVERSAL Sabor a Fresa 2L Bolsa 130g;3.39;18;Gelatinas;4;Repostería
1285;Gelatina UNIVERSAL Sabor a Limón 2L Bolsa 130g;3.39;18;Gelatinas;4;Repostería
1287;Bombones BON O BON Clásico por unidad 15g;0.85;18;Chocolatería;1;Dulcería
1288;Cebolla China por Atado;0.42;18;Verduras;0.5;Frutas y Verduras
1289;Detergente en Polvo CARICIA Rosa Ropa Delicada Bolsa 330g;8.39;18;Detergentes;9.9;Cuidado de Ropa
1290;Tortillas de Maíz DORITOS Queso Atrevido Familiar Bolsa 190g;6.61;18;Maiz;7.8;Snacks
1291;Tortillas de Maíz TOSTITOS con Sal Bolsa 200g;6.36;18;Maiz;7.5;Snacks
1292;Suavizante CARICIA Rosa Ropa Delicada Bolsa 75ml;1.27;18;Suavizantes;1.5;Cuidado de Ropa
1295;Helado Copa D'ONOFRIO Clásica 180ml;3.9;18;Helados;4.6;Congelados
1296;Helado Frio Rico D'ONOFRIO Vainilla Almendras Paleta 93ml;4.24;18;Helados;5;Congelados
1298;Helado Frio Rico D'ONOFRIO Maracuyá de Ancash Paleta 93ml;4.24;18;Helados;5;Congelados
1300;Vodka SMIRNOFF Ice Guaraná Lata 350ml;6.78;18;Licores Preparados;8;Licores
1302;Café Pasado BELCAFE Botella 500ml;7.63;18;Café e Infusiones;9;Desayunos
1303;Cerveza TRES CRUCES Lager Lata 473ml;3.81;18;Con Alcohol;4.5;Cervezas
1304;Comida para Gato MICHICAT Pollo y Sardina Para Adulto Bolsa 500 g;3.14;18;Alimento Seco para Gatos;3.7;Mascotas
1305;Comida para Gato RICOCAT Adultos Paté Sardina y Pollo Lata 330g;5.08;18;Alimento Húmedo para Gatos;6;Mascotas
