id;name;image;is_featured;products_count;category_ids;category_names;created_at;updated_at
KRFlOOeUfNkLK2lKie4G;Pall Mall;;false;0;;;2025-10-25T13:09:23.849;2025-10-25T13:09:23.850
KW3P4RzJqLOgnOdYFsjp;Dkasa;;false;0;;;2025-10-25T13:08:34.834;2025-10-25T13:08:34.834
LDHAuSVwHnUJLHzgxaaV;Suerox;;false;0;;;2025-10-25T13:09:52.161;2025-10-25T13:09:52.161
LE4SwlKVKSh3tAj4ySWK;Clear;;false;0;;;2025-10-25T13:08:27.586;2025-10-25T13:08:27.586
MFNsc3njfNwZ9CqbFipn;Lucky Strike;;false;0;;;2025-10-25T13:09:05.402;2025-10-25T13:09:05.402
MMPWVLCZXxMmiCOSHzwU;Accesorios;;false;0;;;2025-10-25T13:08:02.295;2025-10-25T13:08:02.295
MX343bl9B9lJyFRTmlmg;Caricia;;false;0;;;2025-10-25T13:08:20.850;2025-10-25T13:08:20.850
Mrgzs70tjPLH7tFC3bD6;Beso de Moza;;false;0;;;2025-10-25T13:08:13.684;2025-10-25T13:08:13.684
Mu4M6nDxFyTzlPIfjSu9;Chemmer;;false;0;;;2025-10-25T13:08:23.522;2025-10-25T13:08:23.522
N6D5XiC0GqvN37pYgkyU;Full;;false;0;;;2025-10-25T13:08:47.468;2025-10-25T13:08:47.469
NCBQUiKDJufalqmdQIjZ;Pan;;false;0;;;2025-10-25T13:09:24.864;2025-10-25T13:09:24.864
NYaQp6lb5ywRIU7UBsMu;Alacena;;false;0;;;2025-01-14T01:36:28.790;2025-01-14T01:36:28.790
NsMRYGd6A7Rs0AUvIMMq;Natuchips;;false;0;;;2025-10-25T13:09:16.082;2025-10-25T13:09:16.083
ONlwaVQB0mcJndN1DqwA;Globo Pop;;false;0;;;2025-10-25T13:08:49.908;2025-10-25T13:08:49.908
Oa4uZgoDGkvpetAqewHs;Ambrosoli;;false;0;;;2025-10-25T13:08:07.368;2025-10-25T13:08:07.369
OxW54oN631ERz23FOIE1;Virutex;;false;0;;;2025-10-25T13:10:01.603;2025-10-25T13:10:01.603
P0TR8ihEmf0hzfgKqRV4;Johnson's;;false;0;;;2025-10-25T13:08:58.368;2025-10-25T13:08:58.368
PMedUwbkgkjO6xHu2KJV;Heineken;;false;0;;;2024-12-31T01:57:39.517;2024-12-31T01:57:39.517
PRMRJckMpRcF8RmFl7NA;Do�a Gusta;;false;0;;;2025-10-25T13:08:35.842;2025-10-25T13:08:35.842
PXyHwWM9rLsBl5uSrTix;Lavaggi;;false;0;;;2025-01-14T01:39:25.971;2025-01-14T01:39:25.971
PfJtReXQXt64aNKdvmdu;Neko;;false;0;;;2025-10-25T13:09:16.607;2025-10-25T13:09:16.607
PqlFbqAqEz5qVfaVjTet;Doña Delia;;false;0;;;2025-10-25T00:18:04.910;2025-10-25T00:18:04.910
PsAKz2kZ0HM3yT6fP9zn;Graphos;;false;0;;;2025-10-25T13:08:51.952;2025-10-25T13:08:51.952
Q6ymTQkIMkgtrfdiuEOV;Ricocan;;false;0;;;2024-09-12T22:17:33.550;2024-09-12T22:17:33.550
QEYcR6GG7RNhjv2QHWVg;v220;;false;0;;;2025-01-05T15:53:09.789;2025-01-05T15:53:09.789
QFzpc6s2L1bszVOwxp2G;Bolivar;;false;0;;;2025-01-14T01:49:19.417;2025-01-14T01:49:19.417
QJXRFpyvCDXalvVgA05U;Nan;;false;0;;;2025-10-25T13:09:15.580;2025-10-25T13:09:15.580
QOUAPfx8XSjbAT5vCv1K;Venturo;;false;0;;;2025-10-25T13:10:00.107;2025-10-25T13:10:00.107
QeLFf6I97egatiCfLEGt;Top Medic;;false;0;;;2025-10-25T13:09:54.674;2025-10-25T13:09:54.674
Qg14iNeiXHTiiNcNsN8J;Concordia;;false;0;;;2025-10-25T13:08:31.185;2025-10-25T13:08:31.185
QjktXChHDtHBZqKqcGOU;Inca Kola;;false;0;;;2025-01-10T00:22:29.301;2025-01-10T00:22:29.301
QwXU19ea6xcw9N6NupAg;Golden;;false;0;;;2024-12-31T01:59:12.372;2024-12-31T01:59:12.372
QzDUp7qmjjFWjgeaI146;San Luis;;false;0;;;2025-01-11T23:34:09.768;2025-01-11T23:34:09.768
RLv6gvPrI7JXd4z9GFpT;Sibarita;;false;0;;;2025-10-25T13:09:47.560;2025-10-25T13:09:47.560
RRtlEiFcPOW74cqJ96uA;Casa Grande;;false;0;;;2025-10-25T01:00:18.531;2025-10-25T01:00:18.531
RW3YOfnehp9APCG6X8g6;La Espa�ola;;false;0;;;2025-10-25T13:09:00.865;2025-10-25T13:09:00.865
RpcoEP3gxOqEwBhPQvVl;Takis;;false;0;;;2025-10-25T13:09:54.170;2025-10-25T13:09:54.170
RvPYEeKiGf3HYptbkeaD;Cheese Tris;;false;0;;;2025-10-25T13:08:22.383;2025-10-25T13:08:22.383
SEvO6sbL76LDlSXxfeHJ;Thor;;false;0;;;2025-01-21T12:53:02.788;2025-01-21T12:53:02.788
SKiWqOZSLa7mi7hozPHb;Zuko;;false;0;;;2025-10-25T13:10:03.087;2025-10-25T13:10:03.087
ST42qVFln5w5JUiJyoTK;Cabo Blanco;;false;0;;;2025-10-25T13:08:19.358;2025-10-25T13:08:19.358
SZj3JAG8yRSaJxCAFOiC;Blackout;;false;0;;;2025-10-25T13:08:16.274;2025-10-25T13:08:16.274
SdNXUevbT7JFObwFzaxy;Real;;false;0;;;2025-10-25T13:09:36.790;2025-10-25T13:09:36.790
SxInITgLgFga2uG848K0;Altomayo;;false;0;;;2025-10-25T13:08:06.306;2025-10-25T13:08:06.306
T4RhnI1ZcXUjaOpsCY7q;Ritz;;false;0;;;2025-10-25T13:09:38.805;2025-10-25T13:09:38.805
TENcP06vPqT2kthf3Cix;Cielo;;false;0;;;2025-10-25T13:08:26.017;2025-10-25T13:08:26.017
TPZapk2mFrNtyT6FQcvk;Ace;;false;0;;;2025-10-25T01:25:20.734;2025-10-25T01:25:20.734
